SUP_ID;STA_NM_ANFR;NAT_ID;COR_NB_DG_LAT;COR_NB_MN_LAT;COR_NB_SC_LAT;COR_CD_NS_LAT;COR_NB_DG_LON;COR_NB_MN_LON;COR_NB_SC_LON;COR_CD_EW_LON;SUP_NM_HAUT;TPO_ID;ADR_NM_CP;COM_CD_INSEE;
74167;162290002;23;46;0;13;N;0;21;19;E;41;16;16350;16404;
1121219;160230003;11;45;41;43;N;0;20;57;W;15;13;16100;16102;
1121239;160230004;17;45;38;14;N;0;7;51;E;8;13;16000;16015;
965882;160230014;4;45;44;30;N;0;16;5;E;29;13;16590;16061;
893853;160230017;23;45;16;43;N;0;5;59;E;42;13;16210;16347;
1101711;160230023;17;46;1;9;N;0;40;14;E;15;13;16500;16106;
1101725;160230024;17;45;40;12;N;0;12;8;E;10;13;16340;16166;
1107653;160230026;17;45;52;36;N;0;9;38;E;7;13;16230;16206;
1107655;160230027;17;46;1;43;N;0;11;39;E;10;13;16700;16292;
440823;640130234;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;640130261;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;642290163;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;642700001;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;640990004;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;640770028;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;642750330;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
440823;640220249;23;43;16;9;N;0;16;46;W;78;32;64510;64067;
